Processor,U,Algo
Processor0,"(True, 0.72)",edf
Processor1,"(True, 0.71)",edf
Processor2,"(True, 0.76)",edf
Processor3,"(True, 0.74)",edf
Processor4,"(True, 0.85)",edf
Processor5,"(True, 0.7)",edf
Processor6,"(True, 0.59)",edf
Processor7,"(True, 0.69)",edf
Processor8,"(True, 0.68)",edf
Processor9,"(True, 0.78)",edf
